2025-10-03 21:12:48.924347 - [INFO] Monitoring System for Normal events...
2025-10-03 21:12:48.927352 - [INFO] Monitoring Application for Normal events...
2025-10-03 21:12:48.927352 - [INFO] Monitoring: System, Application
2025-10-03 21:12:48.956944 - [NORMAL] Netwtw14_42823 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.956944 - [NORMAL] Edge_20058 | EventID: 256 | Level: Information | Message: <The description for Event ID ( 256 ) in Source ( 'Edge' ) could not be found. It contains the following insertion string(s):'[2716:19600:1003/193757.194:INFO:chrome\\browser\\extensions\\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.'.>
2025-10-03 21:12:48.961961 - [NORMAL] Netwtw14_42824 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.964943 - [NORMAL] Software Protection Platform Service_20059 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.966947 - [NORMAL] Netwtw14_42825 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.969951 - [NORMAL] Software Protection Platform Service_20060 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T14:09:35Z, RulesEngine'.>
2025-10-03 21:12:48.970946 - [NORMAL] Netwtw14_42826 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.977948 - [NORMAL] Software Protection Platform Service_20061 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.978949 - [NORMAL] Netwtw14_42828 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.981946 - [NORMAL] Software Protection Platform Service_20062 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T14:22:19Z, RulesEngine'.>
2025-10-03 21:12:48.982947 - [NORMAL] Netwtw14_42830 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.984942 - [NORMAL] Edge_20063 | EventID: 256 | Level: Information | Message: <The description for Event ID ( 256 ) in Source ( 'Edge' ) could not be found. It contains the following insertion string(s):'[13720:636:1003/202235.562:INFO:chrome\\browser\\extensions\\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.'.>
2025-10-03 21:12:48.985948 - [NORMAL] Netwtw14_42832 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.986951 - [NORMAL] Software Protection Platform Service_20064 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.990945 - [NORMAL] Software Protection Platform Service_20065 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:02:55Z, RulesEngine'.>
2025-10-03 21:12:48.993952 - [NORMAL] Software Protection Platform Service_20066 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:48.996944 - [NORMAL] Software Protection Platform Service_20067 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:13:43Z, RulesEngine'.>
2025-10-03 21:12:49.000945 - [NORMAL] Edge_20068 | EventID: 256 | Level: Information | Message: <The description for Event ID ( 256 ) in Source ( 'Edge' ) could not be found. It contains the following insertion string(s):'[992:20760:1003/204543.053:INFO:chrome\\browser\\extensions\\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.'.>
2025-10-03 21:12:49.005943 - [NORMAL] Software Protection Platform Service_20069 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:49.007964 - [NORMAL] Software Protection Platform Service_20070 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:21:23Z, RulesEngine'.>
2025-10-03 21:12:49.011145 - [NORMAL] Software Protection Platform Service_20071 | EventID: 16394 | Level: Information | Message: <The description for Event ID ( 16394 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:12:49.013146 - [NORMAL] Software Protection Platform Service_20072 | EventID: 16384 | Level: Information | Message: <The description for Event ID ( 16384 ) in Source ( 'Software Protection Platform Service' ) could not be found. It contains the following insertion string(s):'2125-09-09T15:27:09Z, RulesEngine'.>
2025-10-03 21:13:14.897856 - [INFO] Monitoring System for Normal events...
2025-10-03 21:13:14.898851 - [INFO] Monitoring: System, Application
2025-10-03 21:13:14.898851 - [INFO] Monitoring Application for Normal events...
2025-10-03 21:13:14.942874 - [NORMAL] Netwtw14_42823 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
2025-10-03 21:13:14.942874 - [NORMAL] Edge_20058 | EventID: 256 | Level: Information | Message: <The description for Event ID ( 256 ) in Source ( 'Edge' ) could not be found. It contains the following insertion string(s):'[2716:19600:1003/193757.194:INFO:chrome\\browser\\extensions\\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.'.>
2025-10-03 21:13:14.945858 - [NORMAL] Netwtw14_42824 | EventID: 7021 | Level: Information | Message: <The description for Event ID ( 7021 ) in Source ( 'Netwtw14' ) could not be found. It contains the following insertion string(s):''.>
ound. It contains the following insertion string(s):''.>
